scenario,policy_cost,optimised_cost,saving_pct,policy_capacity_breach
0,28096.42859725161,25167.341134587557,10.425123792959855,False
1,28621.387928513526,25460.55739759795,11.04359627426264,False
2,29495.72600287607,26160.137675249003,11.308717497924338,False
3,30154.62675096166,26904.745874100576,10.77738717743353,False
4,24896.043835784214,22072.254738253454,11.342320555653908,False
5,27381.56710797358,24252.10476943944,11.429084121422813,False
6,30897.195420043932,27431.59173147424,11.216563967878624,False
7,28407.466491996467,25182.487487875573,11.352575228873372,False
8,28203.567630825404,25181.763089693733,10.714263460162238,False
9,28709.104005155554,25547.052405694416,11.014107576792712,False
10,31254.345795021396,27786.66064824904,11.095049531718997,False
11,27207.487843546303,24156.188305601718,11.21492566859076,False
12,29812.596146828993,26494.448182667453,11.130020169392306,False
13,30838.795868227422,27464.490103654894,10.941755894071743,False
14,28496.477059378583,25387.89597500109,10.90865049002405,False
15,25571.905983256078,22839.106680827375,10.686725128029485,False
16,28035.931626525347,24988.610671715316,10.869340799529203,False
17,28165.654319538684,24899.649612381894,11.595699748722481,False
18,30770.413973408053,27276.62702317112,11.354370965747423,False
19,26489.550918130655,23558.571952870006,11.064660832942067,False
20,28498.103841870423,25384.46127421019,10.925788553993407,False
21,28675.67564787589,25647.410249777866,10.560397722738013,False
22,28634.811277842065,25527.431089702193,10.851757177615475,False
23,27061.207486350868,24027.742862275976,11.20964253204485,False
24,29111.542502073127,26056.031677505023,10.49587401406336,False
25,28331.55306931254,25238.2320788488,10.918289522978133,False
26,29992.607968706405,26727.94205100108,10.88490177683649,False
27,29392.34843890402,26144.725896534455,11.049210814577094,False
28,28208.058255270807,24985.507375979912,11.424220873794978,False
29,29549.629601368197,26231.960493219347,11.227447358579536,False
30,27956.11336630262,24924.83699637704,10.842982106301594,False
31,29174.24609486208,26206.522591204222,10.172408548306949,False
32,27783.591597512026,24699.20668054728,11.101462192673997,False
33,28178.531921663754,25086.645485221678,10.972489429319856,False
34,27130.484559997214,24070.055325813697,11.280407570368258,False
35,27402.866154475814,24467.31739474653,10.712561026211525,False
36,29191.64679498421,26084.711111099976,10.643235394373427,False
37,26430.86820107292,23408.21714580478,11.436064196882642,False
38,28754.053494283722,25510.9092601406,11.27891145778057,False
39,29822.94893300129,26577.164910768064,10.883511317157264,False
40,30855.62569266481,27427.801705894683,11.109235057855301,False
41,30526.02195021126,27201.748491395643,10.889966154900868,False
42,28958.424561763244,25800.27530693481,10.905804796433777,False
43,27720.19551078797,24598.084524975562,11.262947206116797,False
44,29796.522238083515,26559.423883159463,10.86401402505509,False
45,27839.978371815185,24737.724794932074,11.143160872652798,False
46,31377.002338487913,28048.738633111472,10.607334854591572,False
47,24862.152763930648,22068.09284380637,11.238205905394583,False
48,24583.050077630247,21879.579990458282,10.997293170028696,False
49,31262.20780995848,27882.430031470052,10.811065549285388,False
50,27488.98036025073,24404.820684117738,11.2196219565594,False
51,29793.73024370244,26536.894225033277,10.931279809642392,False
52,30039.718576725576,26666.182666360186,11.23025138118027,False
53,25037.9751227189,22231.20790230141,11.210040774705835,False
54,28663.598094559704,25428.534130902233,11.286314973385982,False
55,27768.41095650612,24777.108314069817,10.772321999705358,False
56,28571.891455161287,25574.093708171393,10.492122132321644,False
57,29354.823560449033,26201.99915306522,10.740396381164915,False
58,26970.89941437431,23956.30850735127,11.1771982858547,False
59,28957.731703038473,25664.998879843366,11.370824403520555,False
60,32005.580363520854,28581.280677541108,10.699070746683523,False
