customer_state,product_group,demand
BA,beauty_health,11.942209271575528
BA,home,15.149033302213354
BA,other,20.29279840047317
BA,tech,12.093447379724386
DF,beauty_health,7.9403182593616926
DF,home,12.145187870879239
DF,other,13.538364565247061
DF,tech,9.60050892911591
MG,beauty_health,31.82041930310242
MG,home,53.81494686413745
MG,other,59.401876267951955
MG,tech,37.094753821317745
PR,beauty_health,14.235459285913203
PR,home,29.249377760367107
PR,other,28.70375333271907
PR,tech,19.88429514733213
RJ,beauty_health,27.808303887182205
RJ,home,64.59418070832783
RJ,other,57.06177227808662
RJ,tech,37.71649365344012
RS,beauty_health,13.397415975430578
RS,home,33.74216967015223
RS,other,24.12769022416297
RS,tech,20.026367925361974
SC,beauty_health,8.198646405936357
SC,home,18.87395867475687
SC,other,21.117771087998314
SC,tech,12.933578592917454
SP,beauty_health,121.2285165047994
SP,home,231.88304941960592
SP,other,236.37558934558555
SP,tech,125.33253387196332
